Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,angles,velocity,roughness
1771.0,336.2072754,1242.596191,749.1895142,1318.928101,378.315094,1152.662964,225.8922882,991.2154541,225.8131825733357,991.8127135848448,394.08336629578935,1291.9063627396265,658.9638794572226,1310.6259527212885,18.565768192861626,231.9788066422512,2.4204300141320574
1772.0,336.2072754,1242.596191,749.1895142,1318.928101,390.1308594,1135.057983,228.7720795,984.5640869,228.63845309111645,984.7248525022944,364.05987627642327,1248.731884496675,719.6172235650566,1316.8787556377024,22.645749099130516,244.79885437613345,0.7258160505995094
1773.0,336.2072754,1242.596191,749.1895142,1318.928101,401.0012207,1116.779785,231.1886597,977.3886719,231.12516857072185,977.5494570249951,341.99857005508653,1226.36968983132,756.903864490822,1317.9987381573212,26.810961654908148,249.91275334665795,0.16674901974427148
1774.0,336.2072754,1242.596191,749.1895142,1318.928101,411.3726196,1097.807129,233.4139404,970.3483887,233.23750649969512,970.3191366094007,329.55051537229446,1220.488833153999,772.6454784653891,1316.4642645504414,30.5885528163716,226.6554696878071,0.04502007554157592
1775.0,336.2072754,1242.596191,749.1895142,1318.928101,411.3726196,1097.807129,235.110199,963.0440674,234.97052922266508,963.017547451113,325.3809027939635,1224.5899271257006,772.9480839097145,1315.7526608573105,33.42557137376774,170.22111344376833,0.2822499964697194
1776.0,336.2072754,1242.596191,749.1895142,1318.928101,428.6056824,1056.614136,236.0973969,955.7791748,236.34129201907604,955.602588944395,326.61985337518126,1232.553034723807,765.0285584991433,1319.1273942813011,35.028551391222656,96.17880104729508,1.169751979410876
1777.0,336.2072754,1242.596191,749.1895142,1318.928101,435.4791565,1035.254028,237.2147827,948.4281616,237.37308495429448,948.0314057693828,330.25775351588845,1240.088570474844,754.9523148044909,1328.282996979597,35.43862651324022,24.604507321054,2.4185072371455107
1778.0,336.2072754,1242.596191,749.1895142,1318.928101,441.237793,1014.051941,237.7533875,940.2628784,238.0784731683783,940.279675779424,334.02818817084346,1245.0748639136418,746.6810599047185,1341.9594648859018,34.95329379721139,-29.119962961730153,3.0081522805981273
1779.0,336.2072754,1242.596191,749.1895142,1318.928101,445.8824768,992.272644,238.4872894,932.1638184,238.44933585292293,932.3495911976104,336.71418163265804,1247.1449799415084,742.1630582121368,1354.8568051876098,34.0418178773023,-54.688555194545216,2.3669272796767977
1780.0,336.2072754,1242.596191,749.1895142,1318.928101,445.8824768,992.272644,238.5948486,924.0650635,238.4590517841452,924.2670100190438,338.0281990157245,1246.9651294288929,741.9314886692642,1357.4534329781548,33.282556840324624,-45.555662218660586,1.0941073577057092
1781.0,336.2072754,1242.596191,749.1895142,1318.928101,445.8824768,992.272644,238.1535492,916.1443481,238.0749657886384,916.0753454880868,338.2796710357171,1245.549666017855,745.7059050196822,1337.4573007808278,33.32463146661298,2.5244775773012407,0.30801919452474863
1782.0,336.2072754,1242.596191,749.1895142,1318.928101,451.9580688,927.1881714,237.4206696,907.8879395,237.2739801976651,907.8341289341162,338.0115955688416,1243.7967357703974,752.6948128003796,1283.344265194375,34.88819135911692,93.81359355023632,1.0071768899914422
1783.0,336.2072754,1242.596191,749.1895142,1318.928101,451.0828247,905.3273315,235.9134216,899.7590332,236.0545054043237,899.6234984720926,337.7176475519758,1242.2818138373923,761.5703227510947,1189.5344094086092,38.769217668147014,232.86157854180587,4.000966425031465
1784.0,336.2072754,1242.596191,749.1895142,1318.928101,451.0828247,905.3273315,234.7570343,891.828125,234.4423154682541,891.5497253099311,337.68546288075544,1241.250276718881,770.3543411518302,1061.1202175773126,45.65893779408826,413.3832075564747,9.64052018172771
1785.0,339.5,1240.5,804.8114624,681.2428589,447.0869141,863.2495117,232.7600555,884.0388184,232.49051226226916,883.7451969330295,337.9677058297539,1240.7117521939567,776.6010089076007,914.5692475475054,55.513833767085785,591.2937583798515,15.812534579142744
1786.0,339.5,1241.139526,791.2131348,644.5441895,447.0869141,863.2495117,230.3871002,876.6973877,230.2719127884217,876.3566236504919,338.4513392650672,1240.5513003868534,778.0581537237161,772.1769479949596,66.99818200948242,689.0608945437981,16.800739030316468
1787.0,339.6107788,1240.828491,776.3786621,608.6505737,438.162323,823.1612549,227.8180389,869.2538452,227.85987063306703,869.5165609940451,338.96831238281555,1240.6146561033054,773.4717826580414,653.010651451722,78.18926336304894,671.464881213991,10.445893085164965
1788.0,339.5,1241.139526,759.6513672,573.970459,432.7563171,804.0358887,224.8357697,862.3577271,225.29682753786497,863.2990360714397,339.38588569825515,1240.7615553468042,762.9429431767414,566.3958198823972,87.75000787349032,573.6446706264828,3.3255120582954945
1789.0,339.6107788,1240.828491,741.9904175,541.4206543,432.7563171,804.0358887,221.2663574,856.1080933,222.5588550942451,857.6729711065374,339.64534092673887,1240.8927170249103,747.6196324707416,511.2457584080067,95.22062831060514,448.23722622688905,2.548825747947732
1790.0,339.6107788,1240.828491,722.4525146,510.6835327,418.8327942,768.8392944,217.5,850.0,219.53653365618672,852.4839596357792,339.75638490081417,1240.955252775556,729.0194141991985,479.6487005346013,100.73264525355336,330.7210165768933,6.445677513449309
