Frame #,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
88.0,429.0,765.5,546.8157349,935.6558228,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,546.9609846103616,935.5237617653902,548.8574220056405,737.823719928448,466.499888663275,1313.5000067248548,168.492403977112,1.5928042766137196,9.193776172502408e-06
89.0,429.0,765.5,547.0,935.5,549.0839233,738.0383911,395.625,904.46875,466.5,1313.5,546.9934368367408,935.5461922041868,548.938184748285,737.6382719792582,466.49995924012904,1313.5000029281805,168.51153967164782,1.1481416721500182,3.857800018596499e-05
90.0,429.0,765.5,547.0,935.5,549.0917969,737.0658569,395.625,904.46875,466.5,1313.5,547.039899733019,935.550857582596,548.9867892400879,737.3708100472031,466.500009786168,1313.4999999918284,168.52020964782315,0.5201985705195966,0.00010098193109557442
91.0,429.0,765.5,547.0,935.5,549.0917969,737.0658569,395.625,904.46875,466.5,1313.5,547.0825098562572,935.5418961548212,548.9822451670675,737.0392890751189,466.5000344802378,1313.4999983918049,168.51724279817182,-0.1780109790797723,0.00018977626715673993
92.0,429.0,765.5,547.0,935.5,549.0917969,737.0658569,395.625,904.46875,466.5,1313.5,547.0951515252838,935.5215364995328,548.9153567669963,736.6763288538295,466.5000377768034,1313.499997993384,168.50543797600446,-0.7082893300417936,0.00024522541631341946
93.0,429.0,765.5,547.0,935.5,548.8239746,736.0224609,395.625,904.46875,466.5,1313.5,547.047147508082,935.4899738812578,548.7894618881566,736.3226068508922,466.50002842326927,1313.4999983683224,168.49222723564847,-0.7926444213592276,0.0001910041821876123
94.0,429.0,765.5,547.0,935.5,547.8579102,735.8087158,395.625,904.46875,466.5,1313.5,546.9116285780545,935.447548561116,548.6134818259012,736.0175901203642,466.50001492769246,1313.4999990546162,168.48777014171733,-0.2674256358682214,7.61789366445962e-05
95.0,429.0,765.5,547.0,935.5,548.711731,735.6576538,395.625,904.46875,466.5,1313.5,546.6777016090971,935.3979164275354,548.3923218381293,735.7892406154774,466.50000315600374,1313.499999708225,168.50056546921223,0.7677196496939587,0.0001072717563407871
96.0,429.0,765.5,547.0,935.5,548.078125,735.875,395.625,904.46875,466.5,1313.5,546.3614495506442,935.3498963190774,548.1235826384225,735.6484290917509,466.49999580065463,1313.500000151047,168.53253908944865,1.918417214184842,0.0003682451662066014
97.0,426.5,765.5,545.4244995,934.9811401,547.8830566,735.6257324,395.625,904.46875,466.5,1313.5,546.0069412815649,935.3156394381986,547.80466046515,735.5914634111203,466.4999930273691,1313.500000348114,168.57677328977934,2.654052019841515,0.0005798353061030182
98.0,426.5,765.5,545.3174438,935.3174438,547.8830566,735.6257324,395.625,904.46875,466.5,1313.5,545.6718002601485,935.3051229014942,547.4449483323984,735.6067976712691,466.4999935738555,1313.5000003528908,168.62010234042643,2.599743038825295,0.0004423902768785458
99.0,426.5,765.5,545.3174438,935.3174438,547.0645142,735.6828003,395.625,904.46875,466.5,1313.5,545.4043730486014,935.3207477865084,547.0742979568021,735.6798176492422,466.49999577081934,1313.5000002513204,168.64964787769912,1.772732236361776,0.00016304059925303788
100.0,426.5,765.5,545.3174438,935.3174438,547.0645142,735.6828003,395.625,904.46875,466.5,1313.5,545.2277173859561,935.3562288319382,546.7410288776631,735.7937708785798,466.4999982192378,1313.5000001216983,168.65929687028762,0.5789395553097165,0.0001958234482825689
